Club ID,Date,Start,Finish,Team,Facility,Type,Opponent,Note,N/A,For,Against,DB ID,Ofcl,Write Up
,11/28/2022,6:45 PM,8:00 PM,>Boys>Boys 8th Grade Division 1>Lee-Mt. Vernon B8-1 Bosley,Bryant Center,Game,>Boys>Boys 8th Grade Division 1>McLean B8-1 Harley,,,39,78,7387165,,
,11/28/2022,7:45 PM,9:00 PM,>Boys>Boys 8th Grade Division 1>CYA B8-1 Rosenblatt,Jackson MS-Front gym,Game,>Boys>Boys 8th Grade Division 1>BRYC B8-1 Lee,,,42,55,7387161,,
,11/28/2022,8:00 PM,9:15 PM,>Boys>Boys 8th Grade Division 1>Lee District CC B8-1 Love,Bryant Center,Game,>Boys>Boys 8th Grade Division 1>SYA B8-1 Livingston,,,66,38,7387162,,
,11/29/2022,6:15 PM,7:30 PM,>Girls>Girls 7th Grade Division 2>Reston G7 Altamirano,Jackson MS rear gym,Game,>Girls>Girls 7th Grade Division 2>McLean G7-2 Horenstein,,,27,30,7389769,, Corrected score by Altamirano 12/05/22 
,11/29/2022,6:15 PM,7:30 PM,>Girls>Girls 8th Grade Division 1>McLean G8-1 Kim,Jackson MS-Front gym,Game,>Girls>Girls 8th Grade Division 1>CYA G8-1 Dowling,,,24,25,7387233,,
,11/29/2022,6:45 PM,8:00 PM,>Girls>Girls 8th Grade Division 2>Springfield G8-* Allen,Bryant Center,Game,>Girls>Girls 8th Grade Division 1>Arlington G8-1 Hall,,,18,40,7387236,,
,11/29/2022,7:30 PM,8:45 PM,>Girls>Girls 8th Grade Division 1>McLean G8-1 Norton,Jackson MS-Front gym,Game,>Girls>Girls 8th Grade Division 1>Burke G8-1 Zahui.,,,38,12,7387234,,
,11/29/2022,7:30 PM,8:45 PM,>Girls>Girls 7th Grade Division 1>Arlington G  Sedor,Jackson MS rear gym,Game,>Girls>Girls 7th Grade Division 2>BRYC G7-2 Shin,,,24,1,7389767,,No game clock available for this game 
,11/29/2022,8:00 PM,9:15 PM,>Girls>Girls 8th Grade Division 1>SYA G8-1 Andersen,Bryant Center,Game,>Girls>Girls 8th Grade Division 1>Fort Hunt G8-1 Garey,,,34,42,7387235,,
,11/29/2022,8:45 PM,10:00 PM,>Girls>Girls 7th Grade Division 2>SYA G7-2 Henryhand,Jackson MS-Front gym,Game,>Girls>Girls 7th Grade Division 2>Gainesville G7-2 Lawhorne,,,30,24,7389768,,
