CsvRow(db_id=7387165, date='2022-11-28', real_date=datetime.datetime(2022, 11, 28, 0, 0), team='>Boys>Boys 8th Grade Division 1>Lee Mt. Vernon B8-1 Bosley', opponent='>Boys>Boys 8th Grade Division 1>McLean B8-1 Harley', points=39, against=78, error=False)
CsvRow(db_id=7387161, date='2022-11-28', real_date=datetime.datetime(2022, 11, 28, 0, 0), team='>Boys>Boys 8th Grade Division 1>CYA B8-1 Rosenblatt', opponent='>Boys>Boys 8th Grade Division 1>BRYC B8-1 Lee', points=42, against=55, error=False)
CsvRow(db_id=7387162, date='2022-11-28', real_date=datetime.datetime(2022, 11, 28, 0, 0), team='>Boys>Boys 8th Grade Division 1>Lee District B8-1 Love', opponent='>Boys>Boys 8th Grade Division 1>SYA B8-1 Livingston', points=66, against=38, error=False)
CsvRow(db_id=7387233, date='2022-11-29', real_date=datetime.datetime(2022, 11, 29, 0, 0), team='>Girls>Girls 8th Grade Division 1>McLean G8-1 Kim', opponent='>Girls>Girls 8th Grade Division 1>CYA G8-1 Dowling', points=24, against=25, error=False)
CsvRow(db_id=7389769, date='2022-11-29', real_date=datetime.datetime(2022, 11, 29, 0, 0), team='>Girls>Girls 7th Grade Division 2>Reston G7-2 Altamirano', opponent='>Girls>Girls 7th Grade Division 2>McLean G7-2 Horenstein', points=27, against=30, error=False)
CsvRow(db_id=7387236, date='2022-11-29', real_date=datetime.datetime(2022, 11, 29, 0, 0), team='>Girls>Girls 8th Grade Division 2>Springfield G8-* Allen', opponent='>Girls>Girls 8th Grade Division 1>Arlington G8-1 Hall', points=18, against=40, error=False)
CsvRow(db_id=7389767, date='2022-11-29', real_date=datetime.datetime(2022, 11, 29, 0, 0), team='>Girls>Girls 7th Grade Division 1>Arlington G7-1 Sedor', opponent='>Girls>Girls 7th Grade Division 2>BRYC G7-2 Shin', points=24, against=1, error=False)
CsvRow(db_id=7387234, date='2022-11-29', real_date=datetime.datetime(2022, 11, 29, 0, 0), team='>Girls>Girls 8th Grade Division 1>McLean G8-1 Norton', opponent='>Girls>Girls 8th Grade Division 1>Burke G8-1 Zahui.', points=38, against=12, error=False)
CsvRow(db_id=7387235, date='2022-11-29', real_date=datetime.datetime(2022, 11, 29, 0, 0), team='>Girls>Girls 8th Grade Division 1>SYA G8-1 Andersen', opponent='>Girls>Girls 8th Grade Division 1>Fort Hunt G8-1 Garey', points=34, against=42, error=False)
CsvRow(db_id=7389768, date='2022-11-29', real_date=datetime.datetime(2022, 11, 29, 0, 0), team='>Girls>Girls 7th Grade Division 2>SYA G7-2 Henryhand', opponent='>Girls>Girls 7th Grade Division 2>Gainesville G7-2 Lawhorne', points=30, against=24, error=False)
CsvRow(db_id=7388676, date='2022-11-30', real_date=datetime.datetime(2022, 11, 30, 0, 0), team='>Boys>Boys 7th Grade Division 1>McLean B7-1 Leggett', opponent='>Boys>Boys 7th Grade Division 2>CYA B7-* Baltazar', points=69, against=36, error=False)
CsvRow(db_id=7388358, date='2022-11-30', real_date=datetime.datetime(2022, 11, 30, 0, 0), team='>Boys>Boys 8th Grade Division 2 >Gum Springs B8-2 Smith', opponent='>Boys>Boys 8th Grade Division 2 >FPYC B8-2 Davis', points=49, against=70, error=False)
CsvRow(db_id=7389031, date='2022-11-30', real_date=datetime.datetime(2022, 11, 30, 0, 0), team='>Boys>Boys 7th Grade Division 3>Herndon B7-3 Starinieri', opponent='>Boys>Boys 7th Grade Division 3>Fort Hunt B7-3 Loving', points=26, against=48, error=False)
CsvRow(db_id=7388677, date='2022-11-30', real_date=datetime.datetime(2022, 11, 30, 0, 0), team='>Boys>Boys 7th Grade Division 1>South County B7-1 Brown', opponent='>Boys>Boys 7th Grade Division 1>Arlington B7-1 Lowen', points=55, against=44, error=False)
